,case_id,tracer_id,target,source,cell_count,flne,gmeannz,mean,std
133,CJ108,FR,A8aD,A10,24,0.0176600441501,0.0274053348972,0.0296079136831,0.0144093094692
134,CJ108,FR,A8aD,A46D,86,0.0632818248712,0.0825875516033,0.0841021901505,0.0188725164045
135,CJ108,FR,A8aD,A46V,24,0.0176600441501,0.0511453591301,0.0660415508891,0.0481837533391
136,CJ108,FR,A8aD,A8aV,69,0.0507726269316,0.12522928743,0.183415888254,0.19205301187
137,CJ108,FR,A8aD,A8b,155,0.114054451803,0.0606706097423,0.0680683902738,0.0407404057976
138,CJ108,FR,A8aD,A9,27,0.0198675496689,0.0178046795872,0.0192709806494,0.00872574689152
139,CJ108,FR,A8aD,AI,0,0.0,,0.0,0.0
140,CJ108,FR,A8aD,DI,1,0.000735835172921,0.000559810738933,0.000387243183705,0.000369437121245
141,CJ108,FR,A8aD,GI,0,0.0,0.00381690881063,0.0025598987825,0.00225620310728
142,CJ108,FR,A8aD,IPro,0,0.0,,0.0,0.0
143,CJ108,FR,A8aD,PaIL,0,0.0,,0.0,0.0
144,CJ108,FR,A8aD,PaIM,0,0.0,,0.0,0.0
145,CJ108,FR,A8aD,ReI,0,0.0,0.00251259697851,0.0022256259239,0.00292354043636
146,CJ108,FR,A8aD,TPro,0,0.0,,0.0,0.0
147,CJ108,FR,A8aD,PGa-IPa,0,0.0,0.00241402509255,0.00208366113117,0.00268279965357
148,CJ108,FR,A8aD,TE1,0,0.0,0.000425894378194,0.000141964792731,0.000245890233897
149,CJ108,FR,A8aD,TE2,0,0.0,,0.0,0.0
150,CJ108,FR,A8aD,TE3,0,0.0,0.00368748423871,0.0032284444997,0.0042036914316
151,CJ108,FR,A8aD,TEO,0,0.0,,0.0,0.0
152,CJ108,FR,A8aD,TPO,1,0.000735835172921,0.00504810584961,0.00967436301106,0.00922711375508
153,CJ108,FR,A8aD,TPPro,0,0.0,,0.0,0.0
154,CJ108,FR,A8aD,A14C,0,0.0,,0.0,0.0
155,CJ108,FR,A8aD,A14R,0,0.0,,0.0,0.0
156,CJ108,FR,A8aD,A25,0,0.0,,0.0,0.0
157,CJ108,FR,A8aD,A32,0,0.0,,0.0,0.0
158,CJ108,FR,A8aD,A32V,0,0.0,,0.0,0.0
159,CJ108,FR,A8aD,A11,43,0.0316409124356,0.0204917844982,0.0215970764518,0.00885686506095
160,CJ108,FR,A8aD,A13L,14,0.0103016924209,0.00464244709114,0.00590217473654,0.00430257734003
161,CJ108,FR,A8aD,A13M,3,0.00220750551876,0.00128947037609,0.00163796720244,0.00105032019378
162,CJ108,FR,A8aD,A13a,0,0.0,,0.0,0.0
163,CJ108,FR,A8aD,A13b,0,0.0,,0.0,0.0
164,CJ108,FR,A8aD,Gu,0,0.0,,0.0,0.0
165,CJ108,FR,A8aD,OPAl,0,0.0,,0.0,0.0
166,CJ108,FR,A8aD,OPro,1,0.000735835172921,0.000735835172921,0.000245278390974,0.000424834635165
167,CJ108,FR,A8aD,A23V,14,0.0103016924209,0.0083784799461,0.00570533415734,0.00523961709798
168,CJ108,FR,A8aD,A23a,112,0.0824135393672,0.0736549293791,0.0786374278457,0.0324448164183
169,CJ108,FR,A8aD,A23b,218,0.160412067697,0.103680235748,0.110768618456,0.0478264077722
170,CJ108,FR,A8aD,A23c,0,0.0,0.000425894378194,0.000141964792731,0.000245890233897
171,CJ108,FR,A8aD,A29a-c,46,0.0338484179544,0.00753248043541,0.0153539742142,0.0167690033688
172,CJ108,FR,A8aD,A29d,51,0.037527593819,0.010302313498,0.0164887446495,0.0183975562801
173,CJ108,FR,A8aD,A30,33,0.0242825607064,0.0114109669482,0.015196959052,0.0106879967954
174,CJ108,FR,A8aD,A31,21,0.0154525386313,0.00531427530553,0.00733066137455,0.00710297303166
175,CJ108,FR,A8aD,PGM,49,0.0360559234731,0.00327167114991,0.0126826543616,0.0202423586649
176,CJ108,FR,A8aD,ProSt,0,0.0,0.00209060705552,0.00165776675298,0.00196823117576
177,CJ108,FR,A8aD,AIP,0,0.0,0.000851788756388,0.000283929585463,0.000491780467794
178,CJ108,FR,A8aD,LIP,13,0.00956585724798,0.00201842632378,0.00333058387539,0.00540410233327
179,CJ108,FR,A8aD,MIP,2,0.00147167034584,0.00147167034584,0.000490556781948,0.000849669270331
180,CJ108,FR,A8aD,OPt,0,0.0,0.000425894378194,0.000141964792731,0.000245890233897
181,CJ108,FR,A8aD,PE,4,0.00294334069169,0.00271491952864,0.00273503434981,0.000394093162831
182,CJ108,FR,A8aD,PEC,2,0.00147167034584,0.00183197891385,0.00125072401874,0.00115619417589
183,CJ108,FR,A8aD,PF,0,0.0,0.00269896210317,0.00232631247017,0.00299178754131
184,CJ108,FR,A8aD,PFG,17,0.0125091979397,0.0126090366247,0.0126554069907,0.0013320347879
185,CJ108,FR,A8aD,PG,13,0.00956585724798,0.0055094667972,0.00650415258862,0.00377911240756
186,CJ108,FR,A8aD,VIP,0,0.0,,0.0,0.0
187,CJ108,FR,A8aD,A4ab,0,0.0,0.00340715502555,0.00113571834185,0.00196712187117
188,CJ108,FR,A8aD,A4c,0,0.0,,0.0,0.0
189,CJ108,FR,A8aD,A6DC,0,0.0,0.0289608177172,0.00965360590574,0.016720535905
190,CJ108,FR,A8aD,A6DR,178,0.13097866078,0.0318926797487,0.0580070626859,0.0648778537419
191,CJ108,FR,A8aD,A6M,7,0.00515084621045,0.0145119529568,0.015345568839,0.0222679740964
192,CJ108,FR,A8aD,A6Va,0,0.0,0.000985521617171,0.000664013203859,0.000592864020485
193,CJ108,FR,A8aD,A6Vb,0,0.0,0.00295656485151,0.00270639608857,0.00363764534328
194,CJ108,FR,A8aD,A8C,9,0.00662251655629,0.0050382966504,0.00348518865335,0.0033249340912
195,CJ108,FR,A8aD,A1-2,0,0.0,,0.0,0.0
196,CJ108,FR,A8aD,A3a,0,0.0,,0.0,0.0
197,CJ108,FR,A8aD,A3b,0,0.0,,0.0,0.0
198,CJ108,FR,A8aD,S2E,0,0.0,0.00980581628082,0.00673628607152,0.00632286463392
199,CJ108,FR,A8aD,S2I,0,0.0,0.00512092053869,0.00369561712435,0.00384043365075
200,CJ108,FR,A8aD,S2PR,0,0.0,0.000425894378194,0.000141964792731,0.000245890233897
201,CJ108,FR,A8aD,S2PV,0,0.0,,0.0,0.0
202,CJ108,FR,A8aD,A19DI,0,0.0,,0.0,0.0
203,CJ108,FR,A8aD,A19M,16,0.0117733627667,0.00371947619168,0.00558222100856,0.00552815233222
204,CJ108,FR,A8aD,FST,0,0.0,0.00241402509255,0.00208366113117,0.00268279965357
205,CJ108,FR,A8aD,MST,0,0.0,0.00269896210317,0.00185007481885,0.0017274067476
206,CJ108,FR,A8aD,V1,2,0.00147167034584,0.00147167034584,0.000490556781948,0.000849669270331
207,CJ108,FR,A8aD,V2,1,0.000735835172921,0.00158338387872,0.00138099673282,0.00179286123859
208,CJ108,FR,A8aD,V3,0,0.0,0.000425894378194,0.000141964792731,0.000245890233897
209,CJ108,FR,A8aD,V3A,0,0.0,,0.0,0.0
210,CJ108,FR,A8aD,V4,0,0.0,,0.0,0.0
211,CJ108,FR,A8aD,V4T,0,0.0,,0.0,0.0
212,CJ108,FR,A8aD,V5,0,0.0,,0.0,0.0
213,CJ108,FR,A8aD,V6,0,0.0,,0.0,0.0
214,CJ108,FR,A8aD,V6A,1,0.000735835172921,0.000915989456927,0.00062536200937,0.000578097087943
215,CJ108,FR,A8aD,A45,0,0.0,0.000851788756388,0.000283929585463,0.000491780467794
216,CJ108,FR,A8aD,A47L,67,0.0493009565857,0.0320649475181,0.0339361143212,0.0140572969219
217,CJ108,FR,A8aD,A47M,20,0.0147167034584,0.0174226758882,0.0177599375185,0.00440008449199
218,CJ108,FR,A8aD,A47O,0,0.0,0.00383304940375,0.00127768313458,0.00221301210507
219,CJ108,FR,A8aD,ProM,0,0.0,,0.0,0.0
220,CJ108,FR,A8aD,A35,0,0.0,,0.0,0.0
221,CJ108,FR,A8aD,A36,0,0.0,,0.0,0.0
222,CJ108,FR,A8aD,Ent,1,0.000735835172921,0.000559810738933,0.000387243183705,0.000369437121245
223,CJ108,FR,A8aD,TF,0,0.0,,0.0,0.0
224,CJ108,FR,A8aD,TFO,0,0.0,,0.0,0.0
225,CJ108,FR,A8aD,TH,0,0.0,0.000851788756388,0.000283929585463,0.000491780467794
226,CJ108,FR,A8aD,TL,0,0.0,,0.0,0.0
227,CJ108,FR,A8aD,TLO,1,0.000735835172921,0.000915989456927,0.00062536200937,0.000578097087943
228,CJ108,FR,A8aD,APir,0,0.0,,0.0,0.0
229,CJ108,FR,A8aD,Pir,0,0.0,,0.0,0.0
230,CJ74,FR,A8aV,A24a,0,0.0,0.000166013041821,8.95592611076e-05,0.00016224716091
231,CJ74,FR,A8aV,A24b,1,0.000468164794007,0.000547965359952,0.000221906609256,0.000309967253598
232,CJ74,FR,A8aV,A24c,0,0.0,0.000166013041821,8.95592611076e-05,0.00016224716091
233,CJ74,FR,A8aV,A24d,0,0.0,,0.0,0.0
234,CJ74,FR,A8aV,AuA1,0,0.0,0.000112246389668,9.72615163402e-05,0.000150004541902
235,CJ74,FR,A8aV,AuAL,0,0.0,,0.0,0.0
236,CJ74,FR,A8aV,AuCL,1,0.000468164794007,0.000266065032801,0.000254868157938,0.000340531353863
